# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.22                    	smoothSolver	1.0217800000000001e-02	2.1093200000000000e-06	3	1.2305200000000001e-02	2.9659900000000002e-06	3	false	smoothSolver	1.1746899999999999e-03	2.0272100000000001e-06	2	true	smoothSolver	1.0353299999999999e-02	1.8392300000000001e-06	3	true	GAMG	1.2473100000000001e-02	3.1851200000000002e-04	2	true
0.225                   	smoothSolver	9.9487699999999991e-03	2.1197799999999999e-06	3	1.2186300000000001e-02	3.0035999999999999e-06	3	false	smoothSolver	1.1435600000000001e-03	1.9856699999999999e-06	2	true	smoothSolver	1.0073199999999999e-02	1.8123899999999999e-06	3	true	GAMG	1.2706900000000000e-02	3.2033499999999999e-04	2	true
0.23                    	smoothSolver	9.6828799999999996e-03	2.1351999999999999e-06	3	1.2054799999999999e-02	3.0642499999999999e-06	3	false	smoothSolver	1.1135500000000000e-03	1.9463800000000000e-06	2	true	smoothSolver	9.8041399999999994e-03	1.7811899999999999e-06	3	true	GAMG	1.2463900000000000e-02	3.1624000000000002e-04	2	true
0.235                   	smoothSolver	9.4199999999999996e-03	2.1524400000000002e-06	3	1.1892500000000000e-02	3.1164200000000001e-06	3	false	smoothSolver	1.0831400000000000e-03	1.9072200000000001e-06	2	true	smoothSolver	9.5619799999999994e-03	1.7515399999999999e-06	3	true	GAMG	1.4550199999999999e-02	3.4155800000000000e-04	2	true
0.24                    	smoothSolver	9.1806500000000003e-03	2.1801399999999999e-06	3	1.1960100000000000e-02	3.2150199999999998e-06	3	false	smoothSolver	1.0691600000000000e-03	1.8908500000000001e-06	2	true	smoothSolver	9.3440399999999996e-03	1.7291500000000000e-06	3	true	GAMG	1.2457200000000000e-02	3.1793199999999999e-04	2	true
0.245                   	smoothSolver	8.9342999999999992e-03	2.2103900000000002e-06	3	1.1764600000000000e-02	3.2843800000000001e-06	3	false	smoothSolver	1.0554000000000000e-03	1.8711100000000000e-06	2	true	smoothSolver	9.1371300000000003e-03	1.6999199999999999e-06	3	true	GAMG	1.2399900000000000e-02	3.2349800000000003e-04	2	true
0.25                    	smoothSolver	8.6946899999999997e-03	2.2336800000000002e-06	3	1.1591900000000000e-02	3.3620000000000002e-06	3	false	smoothSolver	1.0458700000000000e-03	1.8598000000000000e-06	2	true	smoothSolver	8.9518600000000007e-03	1.6819100000000000e-06	3	true	GAMG	1.2157100000000001e-02	3.2441600000000001e-04	2	true
0.255                   	smoothSolver	9.1811099999999993e-03	3.6418399999999998e-06	3	1.1787700000000000e-02	3.5268500000000000e-06	3	false	smoothSolver	1.0337000000000000e-03	1.8452999999999999e-06	2	true	smoothSolver	8.7814000000000000e-03	1.6674600000000001e-06	3	true	GAMG	3.3141700000000002e-01	3.2686899999999998e-02	1	true
0.26                    	smoothSolver	8.3491599999999996e-03	2.2874100000000002e-06	3	1.1495399999999999e-02	3.5800500000000001e-06	3	false	smoothSolver	1.0215000000000001e-03	1.8276399999999999e-06	2	true	smoothSolver	8.6634099999999999e-03	1.6580400000000001e-06	3	true	GAMG	1.6288100000000000e-02	4.2974099999999998e-04	2	true
0.265                   	smoothSolver	8.0922200000000007e-03	2.2735100000000002e-06	3	1.1125400000000001e-02	3.7030599999999999e-06	3	false	smoothSolver	1.0147600000000000e-03	1.8215700000000001e-06	2	true	smoothSolver	8.5703600000000008e-03	1.6115299999999999e-06	3	true	GAMG	1.6453499999999999e-02	3.5706200000000000e-04	2	true
0.27                    	smoothSolver	7.9337100000000001e-03	2.2815500000000002e-06	3	1.1025500000000001e-02	3.8568899999999996e-06	3	false	smoothSolver	1.0057800000000000e-03	1.8147299999999999e-06	2	true	smoothSolver	8.4796500000000000e-03	1.5949800000000001e-06	3	true	GAMG	1.6556499999999998e-02	3.8350999999999999e-04	2	true
